Parent id number,Id number,Shortname,Description,Description format,Scale values,Scale configuration,Rule type,Rule outcome,Rule config,Cross referenced competency id numbers,Exported id,Is framework,Taxonomy
,ACMEQU403A (2017),ACMEQU403A: Relate musculoskeletal structure to horse movement (2017),,1,,,,,,2017,,,
,ACMEQU404A (2017),ACMEQU404A: Evaluate fit of saddlery and equipment (2017),,1,,,,,,2017,,,
,ACMFAR304A (2017),ACMFAR304A: Respond to emergencies and apply essential first aid in the equine industries (2017),,1,,,,,,2017,,,
,ACMGAS101A (2017),ACMGAS101A: Investigate job opportunities in animal care and related industries (2017),,1,,,,,,2017,,,
,ACMGAS102A (2017),ACMGAS102A: Catch and handle a range of quiet animals (2017),,1,,,,,,2017,,,
,ACMGAS103A (2017),ACMGAS103A: Assist in the care of animals (2017),,1,,,,,,2017,,,
,ACMGAS201A (2017),ACMGAS201A: Work in the animal care ind (2017),,1,,,,,,2017,,,
,ACMGAS202A (2017),ACMGAS202A: Participate in workplace communications (2017),,1,,,,,,2017,,,
,ACMGAS203A (2017),ACMGAS203A: Complete animal care hygiene routines (2017),,1,,,,,,2017,,,
,ACMGAS204A (2017),ACMGAS204A: Feed and water animals (2017),,1,,,,,,2017,,,
,ACMGAS205A (2017),ACMGAS205A: Assist in the health care of animals (2017),,1,,,,,,2017,,,
,ACMGAS206A (2017),ACMGAS206A: Provide basic first aid for animals (2017),,1,,,,,,2017,,,
,ACMGAS207A (2017),ACMGAS207A: Provide reception services for an animal care facility (2017),,1,,,,,,2017,,,
,ACMGAS208A (2017),ACMGAS208A: Source information for animal care needs (2017),,1,,,,,,2017,,,
,ACMGAS209A (2017),"ACMGAS209A: Provide Information On Companion Animals, Products And Services (2017)",,1,,,,,,2017,,,
,ACMGAS301A (2017),ACMGAS301A: Maintain and monitor animal health and wellbeing (2017),,1,,,,,,2017,,,
,ACMGAS302A (2017),ACMGAS302A: Provide enrichment for animals (2017),,1,,,,,,2017,,,
,ACMGAS303A (2017),ACMGAS303A: Plan for and provide nutritional requirements for animals (2017),,1,,,,,,2017,,,
,ACMGAS304A (2017),ACMGAS304A: Carry out simple breeding procedures (2017),,1,,,,,,2017,,,
,ACMGAS305A (2017),ACMGAS305A: Rescue animals and apply basic first aid (2017),,1,,,,,,2017,,,
,ACMGRM301A (2017),ACMGRM301A: Perform dog grooms on different coat types (2017),,1,,,,,,2017,,,
,ACMGRM302A (2017),ACMGRM302A: Perform a cross breed clip (2017),,1,,,,,,2017,,,
,ACMGRM401A (2017),"ACMGRM401A: Carry out breed standard styling on Gun dog, Working dog and Hound dog breed gro (2017)",,1,,,,,,2017,,,
,ACMGRM402A (2017),ACMGRM402A: Carry out breed standard styling on Non-sporting and Toy dog breed groups (2017),,1,,,,,,2017,,,
,ACMGRM403A (2017),ACMGRM403A: Carry out breed standard styling on Terrier and Utility dog groups (2017),,1,,,,,,2017,,,
,ACMGRM404A (2017),ACMGRM404A: Provide creative styling for dogs (2017),,1,,,,,,2017,,,
,ACMINF301A (2017),ACMINF301A: Comply with infection control policies and procedures in animal work (2017),,1,,,,,,2017,,,
,ACMMIC401A (2017),ACMMIC401A: Implant microchip in cats and dogs (2017),,1,,,,,,2017,,,
,ACMOHS201A (2017),ACMOHS201A: Participate in OHS processes (2017),,1,,,,,,2017,,,
,ACMOHS301A (2017),ACMOHS301A: Contribute to OHS processes (2017),,1,,,,,,2017,,,
,ACMOHS401A (2017),ACMOHS401A: Maintain OHS processes (2017),,1,,,,,,2017,,,
,ACMSPE302A (2017),ACMSPE302A: Provide basic care of birds (2017),,1,,,,,,2017,,,
,ACMSPE303A (2017),ACMSPE303A: Provide basic care of common native mammals (2017),,1,,,,,,2017,,,
,ACMSPE304A (2017),ACMSPE304A: Provide basic care of dogs (2017),,1,,,,,,2017,,,
,ACMSPE305A (2017),ACMSPE305A: Provide basic care of domestic cats (2017),,1,,,,,,2017,,,
,ACMSPE310A (2017),ACMSPE310A: Provide basic care of mammals (2017),,1,,,,,,2017,,,
,ACMSPE312A (2017),ACMSPE312A: Provide basic care of rodents and rabbits (2017),,1,,,,,,2017,,,
,ACMSUS201A (2017),ACMSUS201A: Participate in environmentally sustainable work practices (2017),,1,,,,,,2017,,,
,ACMVET201A (2017),ACMVET201A: Carry out veterinary nursing reception duties (2017),,1,,,,,,2017,,,
,ACMVET202A (2017),ACMVET202A: Carry out daily clinic routines (2017),,1,,,,,,2017,,,
,ACMVET203A (2017),ACMVET203A: Assist with surgery preparation (2017),,1,,,,,,2017,,,
,ACMVET401A (2017),ACMVET401A: Coordinate patient admission and discharge (2017),,1,,,,,,2017,,,
,ACMVET402A (2017),ACMVET402A: Apply imaging routines (2017),,1,,,,,,2017,,,
,ACMVET403A (2017),ACMVET403A: Perform clinical pathology procedures (2017),,1,,,,,,2017,,,
,ACMVET404A (2017),ACMVET404A: Perform clinic office procedures (2017),,1,,,,,,2017,,,
,ACMVET405A (2017),ACMVET405A: Carry out surgical nursing routines (2017),,1,,,,,,2017,,,
,ACMVET406A (2017),ACMVET406A: Nurse animals (2017),,1,,,,,,2017,,,
,ACMVET407A (2017),ACMVET407A: Carry out medical nursing routines (2017),,1,,,,,,2017,,,
,ACMVET408A (2017),ACMVET408A: Coordinate and perform theatre routines (2017),,1,,,,,,2017,,,
,ACMVET409A (2017),ACMVET409A: Provide specific animal care advice (2017),,1,,,,,,2017,,,
,ACMVET410A (2017),ACMVET410A: Carry out veterinary dental nursing procedures (2017),,1,,,,,,2017,,,
,ACMWHS301A (2017),ACMWHS301A: Contribute to workplace health and safety processes (2017),,1,,,,,,2017,,,
,ACMWHS401A (2017),ACMWHS401A: Maintain workplace health and safety processes (2017),,1,,,,,,2017,,,
,AHCAGB301A (2017),AHCAGB301A: Keep records for a primary production business (2017),,1,,,,,,2017,,,
,AHCAGB402A (2017),AHCAGB402A: Analyse and interpret production data (2017),,1,,,,,,2017,,,
,AHCAGB502A (2017),AHCAGB502A: Plan and manage infrastructure requirements (2017),,1,,,,,,2017,,,
,AHCAGB504A (2017),AHCAGB504A: Plan production for the whole land/farm based business (2017),,1,,,,,,2017,,,
,AHCAGB505A (2017),AHCAGB505A: Develop a whole farm plan (2017),,1,,,,,,2017,,,
,AHCAGB602A (2017),AHCAGB602A: Manage estate planning (2017),,1,,,,,,2017,,,
,AHCAGB603A (2017),AHCAGB603A: Manage the production system (2017),,1,,,,,,2017,,,
,AHCAGB604A (2017),AHCAGB604A: Analyse business performance (2017),,1,,,,,,2017,,,
,AHCAIS303A (2017),AHCAIS303A: Artificially inseminate livestock (2017),,1,,,,,,2017,,,
,AHCARB205A (2017),AHCARB205A: Operate and maintain chainsaws (2017),,1,,,,,,2017,,,
,AHCBAC301A (2017),AHCBAC301A: Conserve forage (2017),,1,,,,,,2017,,,
,AHCBAC302A (2017),AHCBAC302A: Establish pastures and crops for livestock production (2017),,1,,,,,,2017,,,
,AHCBAC306A (2017),AHCBAC306A: Establish agricultural crops (2017),,1,,,,,,2017,,,
,AHCBAC307A (2017),AHCBAC307A: Maintain agricultural crops (2017),,1,,,,,,2017,,,
,AHCBAC308A (2017),AHCBAC308A: Undertake agricultural crop harvesting activities (2017),,1,,,,,,2017,,,
,AHCBAC401A (2017),AHCBAC401A: Manage pastures for livestock production (2017),,1,,,,,,2017,,,
,AHCBAC402A (2017),AHCBAC402A: Plan a pasture establishment program (2017),,1,,,,,,2017,,,
,AHCBAC404A (2017),AHCBAC404A: Plan and implement agricultural crop maintenance (2017),,1,,,,,,2017,,,
,AHCBAC501A (2017),AHCBAC501A: Manage agricultural crop production (2017),,1,,,,,,2017,,,
,AHCBAC503A (2017),AHCBAC503A: Manage integrated crop and pasture production (2017),,1,,,,,,2017,,,
,AHCBAC505A (2017),"AHCBAC505A: Plan and manage long-term weed, pest and/or disease control (2017)",,1,,,,,,2017,,,
,AHCBAC507A (2017),AHCBAC507A: Develop production plans for crops (2017),,1,,,,,,2017,,,
,AHCBIO302A (2017),AHCBIO302A: Identify and report unusual disease or plant pest signs (2017),,1,,,,,,2017,,,
,AHCBIO304A (2017),AHCBIO304A: Carry out movement and security procedures (2017),,1,,,,,,2017,,,
,AHCBIO305A (2017),AHCBIO305A: Monitor and review biosecurity measures (2017),,1,,,,,,2017,,,
,AHCBUS402A (2017),AHCBUS402A: Cost a project (2017),,1,,,,,,2017,,,
,AHCBUS403A (2017),AHCBUS403A: Support and review business structures and relationships (2017),,1,,,,,,2017,,,
,AHCBUS404A (2017),AHCBUS404A: Operate within a budget framework (2017),,1,,,,,,2017,,,
,AHCBUS501A (2017),AHCBUS501A: Manage staff (2017),,1,,,,,,2017,,,
,AHCBUS506A (2017),AHCBUS506A: Develop and review a business plan (2017),,1,,,,,,2017,,,
,AHCBUS507A (2017),AHCBUS507A: Monitor and review business performance (2017),,1,,,,,,2017,,,
,AHCBUS508A (2017),AHCBUS508A: Prepare and monitor budgets and financial reports (2017),,1,,,,,,2017,,,
,AHCBUS603A (2017),AHCBUS603A: Develop and review a strategic plan (2017),,1,,,,,,2017,,,
,AHCBUS604A (2017),AHCBUS604A: Design and manage the enterprise quality management System (2017),,1,,,,,,2017,,,
,AHCBUS605A (2017),AHCBUS605A: Manage human resources (2017),,1,,,,,,2017,,,
,AHCCCF405A (2017),AHCCCF405A: Develop community networks (2017),,1,,,,,,2017,,,
,AHCCCF406A (2017),AHCCCF406A: Facilitate ongoing group development (2017),,1,,,,,,2017,,,
,AHCCHM101A (2017),AHCCHM101A: Follow basic chemical safety rules (2017),,1,,,,,,2017,,,
,AHCCHM201A (2017),AHCCHM201A: Apply chemicals under supervision (2017),,1,,,,,,2017,,,
,AHCCHM303A (2017),AHCCHM303A: Prepare and apply chemicals (2017),,1,,,,,,2017,,,
,AHCCHM304A (2017),"AHCCHM304A: Transport, handle and store chemicals (2017)",,1,,,,,,2017,,,
,AHCCHM401A (2017),AHCCHM401A: Minimise risks in the use of chemicals (2017),,1,,,,,,2017,,,
,AHCCHM501A (2017),AHCCHM501A: Develop and manage a chemical use strategy (2017),,1,,,,,,2017,,,
,AHCDRG301A (2017),AHCDRG301A: Install drainage systems (2017),,1,,,,,,2017,,,
,AHCDRY201A (2017),AHCDRY201A: Milk livestock (2017),,1,,,,,,2017,,,
,AHCDRY301A (2017),AHCDRY301A: Coordinate milking operations (2017),,1,,,,,,2017,,,
,AHCDRY302A (2017),AHCDRY302A: Operate a dairy recycling system (2017),,1,,,,,,2017,,,
,AHCDRY401A (2017),AHCDRY401A: Manage milking shed routines (2017),,1,,,,,,2017,,,
,AHCHBR201A (2017),AHCHBR201A: Monitor horse health and welfare (2017),,1,,,,,,2017,,,
,AHCHBR202A (2017),AHCHBR202A: Handle young horses (2017),,1,,,,,,2017,,,
,AHCHBR203A (2017),AHCHBR203A: Provide daily care for horses (2017),,1,,,,,,2017,,,
,AHCHBR204A (2017),AHCHBR204A: Assist with mating procedures and parturition of horses (2017),,1,,,,,,2017,,,
,AHCHBR302A (2017),AHCHBR302A: Carry out basic hoof care procedures (2017),,1,,,,,,2017,,,
,AHCHBR303A (2017),AHCHBR303A: Carry out mare mating procedures (2017),,1,,,,,,2017,,,
,AHCHBR304A (2017),"AHCHBR304A: Educate, ride and care for horses and equipment (2017)",,1,,,,,,2017,,,
,AHCHBR305A (2017),AHCHBR305A: Handle and care for stallions (2017),,1,,,,,,2017,,,
,AHCHBR306A (2017),AHCHBR306A: Prevent and treat equine injury and disease (2017),,1,,,,,,2017,,,
,AHCHBR307A (2017),AHCHBR307A: Assess suitability of horses for stock work (2017),,1,,,,,,2017,,,
,AHCHBR308A (2017),AHCHBR308A: Maintain horses in a healthy state and safe environment (2017),,1,,,,,,2017,,,
,AHCHBR309A (2017),AHCHBR309A: Determine nutritional requirements for horses (2017),,1,,,,,,2017,,,
,AHCHBR401A (2017),AHCHBR401A: Carry out stud stable management duties (2017),,1,,,,,,2017,,,
,AHCHBR402A (2017),AHCHBR402A: Supervise raising young horses (2017),,1,,,,,,2017,,,
,AHCHYD301A (2017),AHCHYD301A: Implement a maintenance program for hydroponic systems (2017),,1,,,,,,2017,,,
,AHCINF201A (2017),AHCINF201A: Carry out basic electric fencing operations (2017),,1,,,,,,2017,,,
,AHCINF202A (2017),"AHCINF202A: Install, maintain and repair fencing (2017)",,1,,,,,,2017,,,
,AHCINF203A (2017),AHCINF203A: Maintain properties and structures (2017),,1,,,,,,2017,,,
,AHCINF301A (2017),"AHCINF301A: Implement property improvement, construction and repair (2017)",,1,,,,,,2017,,,
,AHCINF302A (2017),AHCINF302A: Plan and construct an electric fence (2017),,1,,,,,,2017,,,
,AHCINF303A (2017),AHCINF303A: Plan and construct conventional fencing (2017),,1,,,,,,2017,,,
,AHCIRG201A (2017),AHCIRG201A: Assist with the operation of gravity fed irrigation (2017),,1,,,,,,2017,,,
,AHCIRG202A (2017),AHCIRG202A: Assist with the operation of pressurised irrigation (2017),,1,,,,,,2017,,,
,AHCIRG203A (2017),AHCIRG203A: Install micro-irrigation systems (2017),,1,,,,,,2017,,,
,AHCIRG206A (2017),AHCIRG206A: Maintain pressurised irrigation systems (2017),,1,,,,,,2017,,,
,AHCIRG301A (2017),AHCIRG301A: Implement a maintenance program for an irrigation system (2017),,1,,,,,,2017,,,
,AHCIRG302A (2017),AHCIRG302A: Install irrigation systems (2017),,1,,,,,,2017,,,
,AHCIRG303A (2017),AHCIRG303A: Measure irrigation delivery system performance (2017),,1,,,,,,2017,,,
,AHCIRG304A (2017),AHCIRG304A: Operate gravity fed irrigation systems (2017),,1,,,,,,2017,,,
,AHCIRG305A (2017),AHCIRG305A: Operate pressurised irrigation systems (2017),,1,,,,,,2017,,,
,AHCIRG309A (2017),AHCIRG309A: Interpret and apply instructions to install pumps (2017),,1,,,,,,2017,,,
,AHCIRG310A (2017),AHCIRG310A: Operate and maintain irrigation pumping systems (2017),,1,,,,,,2017,,,
,AHCIRG324A (2017),AHCIRG324A: Operate surface irrigation systems (2017),,1,,,,,,2017,,,
,AHCIRG408A (2017),AHCIRG408A: Schedule irrigations (2017),,1,,,,,,2017,,,
,AHCIRG502A (2017),AHCIRG502A: Design irrigation system maintenance and monitoring programs (2017),,1,,,,,,2017,,,
,AHCLSC205A (2017),AHCLSC205A: Install tree protection devices (2017),,1,,,,,,2017,,,
,AHCLSC301A (2017),AHCLSC301A: Set out site for construction works (2017),,1,,,,,,2017,,,
,AHCLSC302A (2017),AHCLSC302A: Construct landscape features using concrete (2017),,1,,,,,,2017,,,
,AHCLSC303A (2017),AHCLSC303A: Construct brick and/or block structures and features (2017),,1,,,,,,2017,,,
,AHCLSC305A (2017),AHCLSC305A: Construct stone structures and features (2017),,1,,,,,,2017,,,
,AHCLSC306A (2017),AHCLSC306A: Implement a paving project (2017),,1,,,,,,2017,,,
,AHCLSC307A (2017),AHCLSC307A: Implement a retaining wall project (2017),,1,,,,,,2017,,,
,AHCLSK201A (2017),AHCLSK201A: Assist with feeding in a production system (2017),,1,,,,,,2017,,,
,AHCLSK202A (2017),AHCLSK202A: Care for health and welfare of livestock (2017),,1,,,,,,2017,,,
,AHCLSK204A (2017),AHCLSK204A: Carry out regular livestock observation (2017),,1,,,,,,2017,,,
,AHCLSK205A (2017),AHCLSK205A: Handle livestock using basic techniques (2017),,1,,,,,,2017,,,
,AHCLSK206A (2017),AHCLSK206A: Identify and mark livestock (2017),,1,,,,,,2017,,,
,AHCLSK207A (2017),AHCLSK207A: Load and unload livestock (2017),,1,,,,,,2017,,,
,AHCLSK209A (2017),AHCLSK209A: Monitor water supplies (2017),,1,,,,,,2017,,,
,AHCLSK210A (2017),AHCLSK210A: Muster and move livestock (2017),,1,,,,,,2017,,,
,AHCLSK211A (2017),AHCLSK211A: Provide feed for livestock (2017),,1,,,,,,2017,,,
,AHCLSK301A (2017),AHCLSK301A: Administer medication to livestock (2017),,1,,,,,,2017,,,
,AHCLSK304A (2017),AHCLSK304A: Carry out post-mortem examination of livestock (2017),,1,,,,,,2017,,,
,AHCLSK305A (2017),AHCLSK305A: Maintain livestock water supplies (2017),,1,,,,,,2017,,,
,AHCLSK307A (2017),AHCLSK307A: Euthanase livestock (2017),,1,,,,,,2017,,,
,AHCLSK308A (2017),AHCLSK308A: Identify and draft livestock (2017),,1,,,,,,2017,,,
,AHCLSK309A (2017),AHCLSK309A: Implement animal health control programs (2017),,1,,,,,,2017,,,
,AHCLSK311A (2017),AHCLSK311A: Implement feeding plans for livestock (2017),,1,,,,,,2017,,,
,AHCLSK313A (2017),AHCLSK313A: Monitor livestock production growing environments (2017),,1,,,,,,2017,,,
,AHCLSK314A (2017),AHCLSK314A: Prepare animals for parturition (2017),,1,,,,,,2017,,,
,AHCLSK315A (2017),AHCLSK315A: Prepare for and implement natural mating of livestock (2017),,1,,,,,,2017,,,
,AHCLSK316A (2017),AHCLSK316A: Prepare livestock for competition (2017),,1,,,,,,2017,,,
,AHCLSK317A (2017),AHCLSK317A: Plan to exhibit livestock (2017),,1,,,,,,2017,,,
,AHCLSK318A (2017),AHCLSK318A: Rear newborn and young livestock (2017),,1,,,,,,2017,,,
,AHCLSK320A (2017),AHCLSK320A: Coordinate and monitor livestock transport (2017),,1,,,,,,2017,,,
,AHCLSK329A (2017),AHCLSK329A: Implement procedures for calving (2017),,1,,,,,,2017,,,
,AHCLSK330A (2017),AHCLSK330A: Implement procedures for foaling down mares (2017),,1,,,,,,2017,,,
,AHCLSK331A (2017),AHCLSK331A: Comply with industry animal welfare requirements (2017),,1,,,,,,2017,,,
,AHCLSK402A (2017),AHCLSK402A: Develop livestock feeding plans (2017),,1,,,,,,2017,,,
,AHCLSK404A (2017),AHCLSK404A: Implement and monitor animal welfare programs (2017),,1,,,,,,2017,,,
,AHCLSK409A (2017),AHCLSK409A: Supervise animal health programs (2017),,1,,,,,,2017,,,
,AHCLSK501A (2017),AHCLSK501A: Manage livestock production (2017),,1,,,,,,2017,,,
,AHCLSK503A (2017),AHCLSK503A: Develop and implement a breeding strategy (2017),,1,,,,,,2017,,,
,AHCLSK504A (2017),AHCLSK504A: Develop livestock health and welfare strategies (2017),,1,,,,,,2017,,,
,AHCLSK505A (2017),AHCLSK505A: Develop production plans for livestock (2017),,1,,,,,,2017,,,
,AHCLSK506A (2017),AHCLSK506A: Design livestock effluent systems (2017),,1,,,,,,2017,,,
,AHCMER301A (2017),AHCMER301A: Process customer complaints (2017),,1,,,,,,2017,,,
,AHCMER501A (2017),AHCMER501A: Develop a sales strategy for rural products (2017),,1,,,,,,2017,,,
,AHCMOM202A (2017),AHCMOM202A: Operate tractors (2017),,1,,,,,,2017,,,
,AHCMOM203A (2017),AHCMOM203A: Operate basic machinery and equipment (2017),,1,,,,,,2017,,,
,AHCMOM204A (2017),AHCMOM204A: Undertake operational maintenance of machinery (2017),,1,,,,,,2017,,,
,AHCMOM207A (2017),AHCMOM207A: Conduct front-end loader operations (2017),,1,,,,,,2017,,,
,AHCMOM212A (2017),AHCMOM212A: Operate quad bikes (2017),,1,,,,,,2017,,,
,AHCMOM301A (2017),AHCMOM301A: Coordinate machinery and equipment maintenance and repair (2017),,1,,,,,,2017,,,
,AHCMOM302A (2017),AHCMOM302A: Perform machinery maintenance (2017),,1,,,,,,2017,,,
,AHCMOM304A (2017),AHCMOM304A: Operate machinery and equipment (2017),,1,,,,,,2017,,,
,AHCMOM305A (2017),AHCMOM305A: Operate specialised machinery and equipment (2017),,1,,,,,,2017,,,
,AHCNAR301A (2017),AHCNAR301A: Maintain natural areas (2017),,1,,,,,,2017,,,
,AHCNAR303A (2017),AHCNAR303A: Implement revegetation works (2017),,1,,,,,,2017,,,
,AHCNAR501A (2017),AHCNAR501A: Manage natural areas on a rural property (2017),,1,,,,,,2017,,,
,AHCNAR506A (2017),AHCNAR506A: Develop and implement sustainable land use strategies (2017),,1,,,,,,2017,,,
,AHCNSY201A (2017),AHCNSY201A: Pot up plants (2017),,1,,,,,,2017,,,
,AHCNSY202A (2017),AHCNSY202A: Tend nursery plants (2017),,1,,,,,,2017,,,
,AHCNSY203A (2017),AHCNSY203A: Undertake propagation activities (2017),,1,,,,,,2017,,,
,AHCNSY204A (2017),AHCNSY204A: Maintain indoor plants (2017),,1,,,,,,2017,,,
,AHCNSY301A (2017),AHCNSY301A: Maintain nursery plants (2017),,1,,,,,,2017,,,
,AHCNSY306A (2017),AHCNSY306A: Implement a propagation plan (2017),,1,,,,,,2017,,,
,AHCOHS201A (2017),AHCOHS201A: Participate in OHS processes (2017),,1,,,,,,2017,,,
,AHCOHS301A (2017),AHCOHS301A: Contribute to OHS processes (2017),,1,,,,,,2017,,,
,AHCOHS401A (2017),AHCOHS401A: Maintain Occupational Health and Safety (OHS) processes (2017),,1,,,,,,2017,,,
,AHCOHS501A (2017),AHCOHS501A: Manage Occupational Health and Safety (OHS) processes (2017),,1,,,,,,2017,,,
,AHCPCM201A (2017),AHCPCM201A: Recognise plants (2017),,1,,,,,,2017,,,
,AHCPCM202A (2017),"AHCPCM202A: Collect, prepare and preserve plant specimens (2017)",,1,,,,,,2017,,,
,AHCPCM301A (2017),AHCPCM301A: Implement a plant nutrition program (2017),,1,,,,,,2017,,,
,AHCPCM302A (2017),AHCPCM302A: Provide information on plants and their culture (2017),,1,,,,,,2017,,,
,AHCPCM303A (2017),AHCPCM303A: Identify plant specimens (2017),,1,,,,,,2017,,,
,AHCPCM401A (2017),AHCPCM401A: Recommend plants and cultural practices (2017),,1,,,,,,2017,,,
,AHCPCM402A (2017),AHCPCM402A: Develop a soil health and plant nutrition program (2017),,1,,,,,,2017,,,
,AHCPCM501A (2017),AHCPCM501A: Diagnose plant health problems (2017),,1,,,,,,2017,,,
,AHCPCM502A (2017),AHCPCM502A: Collect and classify plants (2017),,1,,,,,,2017,,,
,AHCPGD201A (2017),AHCPGD201A: Plant trees and shrubs (2017),,1,,,,,,2017,,,
,AHCPGD203A (2017),AHCPGD203A: Prune shrubs and small trees (2017),,1,,,,,,2017,,,
,AHCPGD301A (2017),AHCPGD301A: Implement a plant establishment program (2017),,1,,,,,,2017,,,
,AHCPGD302A (2017),AHCPGD302A: Plan and maintain plant displays (2017),,1,,,,,,2017,,,
,AHCPGD303A (2017),AHCPGD303A: Perform specialist amenity pruning (2017),,1,,,,,,2017,,,
,AHCPGD304A (2017),AHCPGD304A: Implement a landscape maintenance program (2017),,1,,,,,,2017,,,
,AHCPGD305A (2017),AHCPGD305A: Conduct operational inspection of park facilities (2017),,1,,,,,,2017,,,
,AHCPGD401A (2017),AHCPGD401A: Design plant displays (2017),,1,,,,,,2017,,,
,AHCPGD402A (2017),AHCPGD402A: Plan a plant establishment program (2017),,1,,,,,,2017,,,
,AHCPHT201A (2017),AHCPHT201A: Plant horticultural crops (2017),,1,,,,,,2017,,,
,AHCPHT301A (2017),AHCPHT301A: Carry out a crop regulation program (2017),,1,,,,,,2017,,,
,AHCPHT302A (2017),AHCPHT302A: Coordinate horticultural crop harvesting (2017),,1,,,,,,2017,,,
,AHCPHT303A (2017),AHCPHT303A: Implement a post-harvest program (2017),,1,,,,,,2017,,,
,AHCPHT305A (2017),AHCPHT305A: Regulate crops (2017),,1,,,,,,2017,,,
,AHCPHT306A (2017),AHCPHT306A: Establish horticultural crops (2017),,1,,,,,,2017,,,
,AHCPHT402A (2017),AHCPHT402A: Develop a crop regulation program (2017),,1,,,,,,2017,,,
,AHCPHT404A (2017),AHCPHT404A: Implement and monitor a horticultural crop harvesting program (2017),,1,,,,,,2017,,,
,AHCPHT408A (2017),AHCPHT408A: Oversee vineyard practices (2017),,1,,,,,,2017,,,
,AHCPHT504A (2017),AHCPHT504A: Develop a grape production plan (2017),,1,,,,,,2017,,,
,AHCPHT505A (2017),AHCPHT505A: Evaluate wine (2017),,1,,,,,,2017,,,
,AHCPHT506A (2017),AHCPHT506A: Manage a wine making process (2017),,1,,,,,,2017,,,
,AHCPLY204A (2017),AHCPLY204A: Collect and pack eggs for human consumption (2017),,1,,,,,,2017,,,
,AHCPMG201A (2017),AHCPMG201A: Treat Weeds (2017),,1,,,,,,2017,,,
,AHCPMG202A (2017),"AHCPMG202A: Treat plant pests, diseases and disorders (2017)",,1,,,,,,2017,,,
,AHCPMG301A (2017),AHCPMG301A: Control weeds (2017),,1,,,,,,2017,,,
,AHCPMG302A (2017),"AHCPMG302A: Control plant pests, diseases and disorders (2017)",,1,,,,,,2017,,,
,AHCPMG408A (2017),"AHCPMG408A: Assess and monitor weed, pest and/or disease control programs (2017)",,1,,,,,,2017,,,
,AHCPRK201A (2017),AHCPRK201A: Care for health and welfare of pigs (2017),,1,,,,,,2017,,,
,AHCPRK202A (2017),AHCPRK202A: Care for weaner and grower pigs (2017),,1,,,,,,2017,,,
,AHCPRK203A (2017),AHCPRK203A: Move and handle pigs (2017),,1,,,,,,2017,,,
,AHCPRK301A (2017),AHCPRK301A: Pregnancy test pigs (2017),,1,,,,,,2017,,,
,AHCPRK304A (2017),AHCPRK304A: Mate pigs and monitor dry sow performance (2017),,1,,,,,,2017,,,
,AHCSAW502A (2017),AHCSAW502A: Plan erosion and sediment control measures (2017),,1,,,,,,2017,,,
,AHCSHG202A (2017),AHCSHG202A: Assist in preparing for shearing and crutching (2017),,1,,,,,,2017,,,
